pressure,temparature,dewpoint,humidity,cloud,rainfall,windspeed
1025.9,18.3,13.1,72,49,yes,26.3
1022,18.9,15.6,81,83,yes,15.3
1019.7,19.3,18.4,95,91,yes,14.2
1018.9,20.6,18.8,90,88,yes,16.9
1015.9,20.7,19.9,95,81,yes,13.7
1018.8,20.9,18,84,51,yes,14.5
1021.8,18.8,15,79,56,no,21.5
1020.8,18.4,14.4,78,28,no,14.3
1020.6,18.1,14.3,78,79,no,39.3
1017.5,18,15.5,85,91,yes,37.7
1016.5,18.1,16.4,90,90,yes,23.3
1019.9,17.3,13.7,79,86,no,23.9
1020.8,16.1,12.1,77,34,no,24.4
1019.3,16.5,12.9,79,81,yes,33.2
1015.4,15.1,14.6,97,97,yes,37.5
1013.5,16.4,15.6,95,93,yes,40
1011.5,17.8,16.1,90,79,yes,23.4
1017.1,15.2,11.1,76,49,no,28.4
1020.1,16.4,12.5,78,84,no,38
1019.6,15.5,13.9,90,92,yes,50.6
1017.7,16.1,15.3,95,100,yes,26.2
1018.9,14.1,12.9,92,100,yes,35.3
1027.1,8.5,3.4,70,95,yes,55.5
1034.6,4.9,2.2,61,96,yes,59.5
1032.6,7.4,3.7,46,25,no,28.7
1027.1,10.4,2.5,59,85,yes,21.3
1022.7,13,11.6,92,95,yes,29.6
1018.2,16.1,15.7,98,100,yes,28.8
1017.9,16.6,15.9,96,91,yes,25
1020,17.6,15.5,88,80,no,21.2
1019.9,15.7,13.4,86,93,yes,43.1
1022.2,12.4,11.2,93,96,yes,31.9
1024.4,10.4,6.8,79,94,yes,27.3
1023.6,12.5,8.6,77,88,yes,21.3
1021.8,15.2,10.9,76,45,no,9.1
1021.2,14.8,8.4,66,18,no,24.4
1024.9,13.6,0.3,39,13,no,44.7
1026.1,13.7,1.7,36,2,no,20.5
1023.9,14.8,4.3,52,0,no,16.7
1020.8,16.7,7.2,54,29,no,17.2
1017.5,16.6,9.8,64,77,yes,22
1014.9,18.8,16.4,86,80,yes,15.8
1013.4,19.2,18.5,95,86,yes,13.9
1012.5,23.1,21.1,89,76,no,10.2
1014.8,21.7,18.1,81,82,yes,15.3
1024.3,13.2,6.6,64,88,yes,33.5
1025.4,12.8,6,63,89,no,23.5
1024.1,12.9,8.9,77,91,yes,19.2
1021.9,13.7,11.8,89,95,yes,18.6
1020.3,15.3,13.3,88,94,yes,22.2
1023.2,16,9.6,67,55,yes,23.9
1022.2,15,11,77,82,yes,44.7
1020.6,16.1,14.7,91,88,yes,24.4
1022.3,15.5,14.3,92,88,yes,19.3
1027.5,13.7,10,78,88,yes,28
1028.9,14.8,10.5,76,87,no,20.4
1027.4,15.2,11.6,79,88,yes,15.2
1024.7,15.5,11.7,79,79,yes,9.1
1023.8,16.6,11.5,72,49,no,9.2
1024.4,18.5,10.1,61,19,no,16.9
1024.7,16.5,11.5,73,43,no,34.2
1023.8,16.6,11.4,72,32,no,27.1
1020.9,18.7,14,75,46,no,14.7
1018.1,20.2,16.9,82,71,no,15.4
1016.7,20.8,16.9,79,83,yes,13.3
1015.8,21.8,18,79,72,no,6.6
1014.9,19.7,18.2,91,76,yes,13.8
1012.5,20.1,18.9,93,88,no,15.3
1012.5,20.8,19.9,95,88,yes,15.1
1019.5,13.4,12.2,93,93,yes,39.7
1022.6,11.9,8,77,93,yes,25
1017.7,13.6,11.4,87,100,yes,36
1014.5,15.8,15.1,96,99,yes,22.8
1018,15.3,12.4,83,89,yes,26.7
1017.1,14.8,11.1,79,94,yes,38
1015,15.3,13.6,90,100,yes,33.2
1014.3,16.5,16,97,97,yes,26.5
1012,19.5,19,97,92,yes,13.1
1013,22.4,21.4,94,85,yes,12.5
1014.7,19,17.4,91,96,yes,28
1014.8,17.1,16.3,95,95,yes,38.3
1013.4,16.6,16,96,100,yes,33.5
1012.8,18.4,18,97,95,yes,22
1020.2,15.3,14.9,98,99,yes,42
1023.9,13.7,9.2,75,88,yes,19.4
1023.6,15.8,9.8,68,22,no,13.4
1024.1,17.3,8.4,58,19,no,14.6
1024.1,16.9,10,65,58,no,26.9
1021.4,17.7,9.6,59,74,yes,20.5
1018.3,20,16.3,79,89,yes,14.8
1015.3,21.5,18.9,86,83,no,4.5
1014.5,21.9,19.5,86,83,no,8.3
1015.6,21.3,19.6,90,81,yes,14.5
1014.6,23,20.7,87,88,no,9.2
1012.5,23.6,21.4,88,84,yes,8
1013.3,22.3,20.8,91,78,yes,14.8
1013.3,23.1,21.6,91,83,no,20
1013.2,23.9,22.3,91,84,no,10
1013.3,25.3,22.9,87,84,yes,9.1
1011.6,25.7,23.2,86,88,yes,17.3
1009.2,23.3,21.9,92,93,yes,20.5
1010.1,21.5,19.9,91,89,yes,31.8
1009.1,20.3,19.3,94,88,yes,29.8
1005.5,21.8,21.6,98,93,yes,14.5
1008.5,23.1,22.8,98,88,yes,11.2
1011.4,21.1,20.6,97,88,yes,20
1010.5,24.7,22.7,89,81,yes,15.3
1010.9,25.9,24.2,90,86,yes,16
1014.4,23.1,20.8,87,81,yes,19.6
1017.4,20.5,18.1,86,88,yes,35.3
1014.6,21.6,19.5,88,89,yes,20.9
1012.5,24.6,22.3,87,80,yes,7.3
1010.7,23.7,22,90,81,yes,11.1
1008.2,24.9,22.8,88,81,yes,13
1008.7,24.4,23.2,93,84,yes,8.5
1009.8,26,24.3,90,83,yes,13
1009.5,27.2,24.5,86,87,yes,24.2
1008.2,26.8,24,85,83,yes,20.2
1010.4,26,23,84,78,yes,12.5
1013.9,24.1,19.6,76,68,yes,30.5
1012.2,22.5,18.7,80,89,yes,27
1011.5,22.2,20.9,92,90,yes,23.7
1011,25.6,23.6,89,82,yes,11.1
1011.4,26.5,23.9,86,84,yes,11.8
1011.4,25.8,23.4,87,82,yes,9.2
1010.5,28.1,25.1,84,85,no,15.4
1009.9,28.4,25.3,83,84,no,15.5
1010.6,28.7,25.1,81,69,no,12.1
1011.4,28.7,25.2,82,80,no,9.5
1010.1,28.7,25,81,69,no,16.3
1008.1,26.6,24.3,87,84,yes,12
1008.6,25.5,20.6,75,62,no,26
1009.8,25.1,21.4,80,78,yes,28.6
1012.4,25.5,22.2,82,88,yes,24.9
1014.2,25.4,23.4,89,86,yes,28.3
1012.1,26.6,23.7,85,75,yes,15.7
1011.2,24.8,19.4,73,69,yes,21.9
1012.3,23.7,20.1,80,86,yes,39.5
1012,24.5,19.9,76,79,no,30.3
1009.9,25.5,22.5,84,85,yes,26.4
1006.9,25.2,24.2,94,88,yes,22.3
1005.9,26.5,24.3,88,77,yes,25.9
1007.8,27.2,22.7,77,63,no,11.3
1008.4,26.8,23.2,81,65,yes,7.9
1007.9,27.5,24.1,82,61,yes,7.4
1007.8,28,24.7,82,62,yes,16.2
1007.6,27.6,24.8,85,84,yes,34.8
1006.4,27.5,25.5,89,88,yes,32.5
1007.6,27.7,25.6,89,89,yes,24
1007.9,29.1,26.1,84,77,yes,19
1008.8,29.8,26,80,73,yes,22.8
1009.5,29.9,25.7,79,72,no,25.2
1007.8,30.1,26.2,80,73,no,31.7
1006,30.3,26.3,79,58,no,27.4
1006.5,30.3,26.5,80,77,yes,28.8
1007.9,28.7,25.4,83,75,yes,20.8
1008.8,26.9,24.3,86,87,yes,9.8
1008.8,26.2,24.7,91,80,yes,11.2
1008.1,28.1,25.4,86,75,yes,9.5
1006.3,27.1,25.1,89,85,yes,12.6
1005.7,28.2,25.7,86,79,yes,
1005.7,27.9,25.8,89,80,yes,14.6
1005.9,26.6,25.4,93,85,yes,20
1005.7,27.1,25.8,93,96,yes,29.8
1005,29.7,26.7,84,90,yes,24.3
1004.2,30.2,26.6,81,88,yes,30
1005.3,30.3,26.3,79,86,yes,29.3
1006.7,29.4,25.9,82,88,yes,23.2
1008.2,29.4,25.9,82,85,yes,12.8
1010.5,29.3,26,83,81,yes,19.8
1010.3,30.1,26.1,80,41,no,12.4
1008.5,30.8,26.3,78,59,yes,12.1
1009.3,30.6,25.6,75,51,no,12.6
1009.5,30.5,25.3,75,32,no,10.9
1008.4,30.4,24.7,72,20,no,9.6
1008.1,31,25,72,38,no,9
1008.9,31.4,26.1,74,39,no,9.1
1009.1,31.3,26.3,75,57,yes,11.9
1007.5,31.1,26.7,78,61,yes,15.7
1007.5,29.1,26.3,85,83,yes,26.1
1010,29,26.7,87,79,yes,23.4
1010.3,30,26,80,83,yes,24.4
1008.9,30.1,26,79,78,yes,21.9
1009.1,29.4,26,82,86,yes,21.9
1008.7,29.4,25.8,82,84,yes,25.1
1006.6,30.1,25.9,78,83,yes,33
1007.5,29,26.5,87,88,yes,22.5
1008.4,27.3,26,93,88,yes,24.8
1005.9,30.2,25.6,77,53,yes,11.3
1001,31,25.9,75,46,no,23.5
999,31.5,26.4,75,57,yes,25
1000.3,28.6,25,81,88,yes,18.8
1002.2,28.9,26.1,85,89,yes,19.8
1003.8,28.1,25.1,84,88,yes,16.3
1005,28.6,26.1,87,82,yes,12.6
1006.8,28.9,26.2,86,83,yes,14.3
1007,30.2,26.4,81,78,yes,22.4
1008.1,30.6,26.4,79,69,yes,25.1
1008.5,30.6,26.2,78,69,no,23.7
1007.5,30.4,25.3,74,72,yes,23.7
1007.9,29.9,25.8,79,78,yes,25.1
1009.8,29.2,25.6,82,70,yes,22.6
1010.9,30,25.3,76,49,yes,12.3
1010.3,30,25.2,76,29,no,14.5
1008.9,30,25.4,77,32,no,21.6
1008.4,30.4,24.6,72,21,no,16
1008.6,30.8,25.5,74,28,no,8.3
1008.3,29.4,26.4,84,57,yes,17.5
1009.3,30.2,25.3,76,44,yes,9.5
1009.7,30.1,24.8,74,29,no,12.8
1008.5,30.3,24.9,74,32,no,21.9
1006.6,29.9,24.7,74,49,yes,16.1
1005.1,30.1,24.9,74,47,yes,14.1
1011.2,28.9,24.6,78,69,no,11.8
1011.6,28.9,24.5,78,54,no,9.8
1010.6,29.5,24.5,75,38,no,5.5
1008.3,29.4,24.1,74,29,no,4.4
1006.1,29.6,24.4,74,27,no,8.7
1005.3,30.1,24.2,72,29,no,6.1
1003.4,30.7,24.9,72,40,no,10.9
998.5,32.4,24,62,55,no,17.2
998.5,31,24.8,71,80,yes,26.4
1004.5,28.1,25.2,85,88,yes,20.2
1007.3,29.2,25.4,81,77,yes,13.9
1007.9,30,25.8,79,78,yes,11.9
1007.9,28,25.6,87,84,yes,22.9
1007.4,26.9,25.1,90,88,yes,12.9
1008.5,27,25,89,88,yes,14.2
1008.5,29.2,26.5,86,88,yes,18
1008.2,29.9,26.6,83,81,yes,20.5
1008,30.2,25.8,78,67,yes,18.1
1007.7,30.1,25.7,77,59,no,16.6
1006.3,29.1,26.1,84,67,yes,6.9
1002.2,30,25.5,77,70,no,13.6
1000.1,30.2,24.4,71,48,yes,12
1000,30.6,24.2,69,30,yes,11.7
1002.4,30.7,24.3,70,48,no,11
1005.5,30.6,23.2,65,22,no,10.7
1008.1,28.9,25.3,81,78,yes,16.4
1008.1,29,25,79,75,no,12
1006.5,28.3,24.4,79,84,yes,8.9
1006.2,27.8,24.8,84,87,yes,11
1006.8,26.6,25.2,92,88,yes,5.9
1007.4,27.4,25,87,88,yes,5.7
1007.8,27.4,25.4,89,87,yes,8.6
1010.9,25.8,24.8,94,88,yes,16.5
1013,27.6,25.8,90,87,yes,18.2
1013.1,29.1,25.7,82,60,no,9.8
1011.1,29.3,24.8,78,38,no,11.7
1008.1,29.6,25.6,79,43,no,24.9
1007.2,28.3,25.9,87,82,yes,21.3
1009.4,27.9,23.1,75,60,no,29
1012,28.2,23,74,44,yes,26.2
1012.7,28.1,23.2,75,47,no,24.5
1011.1,28.1,23.7,77,46,yes,21.4
1011.5,27.9,23.2,76,66,yes,22.6
1013,28,21.4,68,49,no,39.9
1012.2,28,22.1,71,46,no,41.3
1011.3,28.6,23.1,73,60,no,39.5
1011.9,28.1,24.5,81,86,yes,32.2
1014.6,28.2,24.2,79,72,yes,27.4
1015,28.5,24,77,47,yes,14.5
1012.2,28.3,24.3,79,67,no,8.1
1009.3,28.7,24.5,78,74,yes,14.5
1008.6,27.4,23.8,81,88,yes,11.9
1009.9,28.1,25.5,86,67,yes,14.8
1009.1,28.9,25.3,81,40,yes,10.2
1006.7,29.3,24.7,77,23,no,17.3
1004.9,29.7,25.3,78,38,no,20.5
1006.7,28.7,26.3,87,71,yes,14
1008.2,27.8,25,85,81,yes,15.1
1006.7,29,20.6,61,30,no,16.4
1005.6,29.7,20,56,53,no,15.5
1011,29.8,24.8,75,78,yes,12.7
1013,28.8,25.3,81,84,yes,7.9
1012.4,27.9,23.1,76,82,yes,30.6
1011.7,26.8,23.7,83,88,yes,52.8
1013.2,26.7,25.2,92,95,yes,50.7
1015.2,26.7,25.4,93,88,yes,37
1014.1,26,25.4,97,86,yes,30.4
1012.7,26.4,25,92,85,yes,12.5
1010.5,27.8,23.1,76,54,no,13
1011.3,26.8,20.9,70,45,yes,20.4
1013.7,24.3,19.9,77,85,yes,30.2
1018,20.5,16.6,78,88,yes,38.3
1019,23.1,16.8,67,88,yes,28.2
1018.7,25.1,19.1,70,68,yes,32.4
1017.4,25,20.1,75,51,no,23.9
1015.2,25.2,20.7,76,19,no,14.1
1013.8,25.8,20.4,73,20,no,9.9
1013.4,26.2,19.5,69,17,no,12.4
1012.5,25.5,19.3,70,43,no,8.9
1010.2,25.3,16.7,59,79,no,17.3
1008.3,26.2,17.3,58,78,no,17.2
1010.2,26.4,19.3,65,64,yes,13.2
1012,27,20.9,70,48,no,9.2
1013,27,21.6,73,50,no,9.9
1015,26.8,22.1,76,61,yes,19.7
1016.8,25.9,21.7,77,77,yes,37.5
1016.8,25.4,22.3,83,81,yes,28.9
1015.6,26.5,22.1,77,48,no,10.3
1017,26.7,23.3,82,46,yes,15.8
1018.2,26.4,22.9,81,61,yes,24.2
1017.8,26.7,23.1,81,53,no,16.5
1020.4,25.6,21.6,79,66,yes,40.8
1020.9,22.9,17.8,73,61,no,29.6
1019.8,22.6,16,67,72,yes,22.5
1019.5,23.7,18.8,74,82,yes,32.9
1018.1,24.7,20.4,77,83,yes,29.8
1016.1,25.8,22,80,82,yes,28.3
1015.6,25.5,22.4,83,81,yes,30.2
1016.3,26.2,23.4,85,87,yes,24.8
1016.4,26.5,23.6,84,70,yes,18
1015.8,26.7,23.3,82,58,yes,12.8
1016.9,24.9,21.4,81,88,yes,46.3
1017.7,23.8,20.6,82,85,yes,43.8
1017.3,23.9,21.1,84,88,yes,41.4
1015.2,23.3,22.1,92,86,yes,29.7
1014.5,24.3,21.2,83,74,yes,13.8
1015.2,24.2,22.3,89,84,yes,35.8
1013.7,24.8,23.5,93,74,yes,25.5
1013.9,25.5,23.8,90,51,no,17.2
1016,26.1,23.2,84,20,no,7.9
1017,25.9,22.9,84,58,yes,22.1
1017.2,24.8,21.6,82,73,yes,30.6
1017,24.8,21.1,80,83,no,40.4
1017.1,25.4,21.3,78,65,yes,29.2
1016.7,25.4,21.2,78,47,no,19.6
1016.7,24.5,19.8,76,35,yes,31.2
1017.7,22.6,16.8,70,44,no,28.6
1020.6,18.2,7.8,52,46,no,34.3
1022.4,18.4,9.7,57,44,no,39.3
1022.5,20.8,15,70,49,no,34
1021.2,22.1,17.4,75,40,no,16
1018.9,22.4,17.7,75,56,yes,15.7
1017.6,22.9,19,79,85,no,25
1017.1,23.3,19.6,80,69,yes,15.9
1019.4,20.8,16.5,77,93,yes,27.9
1021.1,19.5,14.9,75,88,yes,37.9
1018.4,18.4,15.8,85,91,yes,41.3
1021.3,16.6,12.2,76,91,yes,28.4
1023.1,17.3,12.1,72,86,no,21.8
1022.2,18,14.1,78,90,yes,28.5
1016.8,17.7,16.8,95,95,yes,35.1
1015.5,19.3,16.8,86,80,yes,10.2
1016.4,19.9,15.5,76,72,no,20.7
1016.2,20,17.1,83,88,no,39.5
1016.4,20.4,17.8,85,83,yes,30.3
1016.6,20.4,17.3,82,84,yes,20.3
1019,18.4,12.6,69,70,yes,26.8
1022.5,15.2,4.3,49,11,no,48
1025.9,13.2,-0.4,39,25,no,35.6
1026.4,13.9,3.1,48,11,no,25.2
1025.4,16.2,8.7,62,71,no,29
1022.5,17.6,12.9,75,88,yes,19
1021.3,19.4,16.2,82,87,yes,22.5
1020.3,19.9,17.6,87,88,yes,27.3
1017.8,21.1,19.6,91,79,yes,15
1016.8,22.3,20.7,91,70,yes,9.4
1020.4,18.2,13.5,75,89,yes,27.6
1020.6,17.9,13.3,74,87,no,21.6
1022.7,17.7,15,84,90,yes,18.4
1026.6,17.3,12.8,75,85,yes,25.9
1025.9,17.7,13.3,75,78,yes,33.4
1025.3,17.3,13.3,78,86,yes,20.9
1026.4,17.8,13,74,66,no,23.3